timestamp,BTC_close,BTC_low,BTC_high,BTC_volume,BTC_HLPercent
1654840800,30106.63,29600,30363.96,1085097.22,0.025160091
1654862400,30028,29849.2,30197.74,631290.97,0.011541923
1654884000,29116.14,28863.37,30189,4669712.09,0.043911027
1654905600,29091.04,28956.87,29361.47,905708.74,0.013779964
1654927200,29283.49,29064.55,29428.81,204286.57,0.012377667
1654948800,28738,28590.8,29348.81,1481207.15,0.025827623
1654970400,28502.72,28120.5,28849.06,2800963.17,0.025254202
1654992000,28408.99,28257.55,28773,605633.25,0.017914364
1655013600,27274.71,27200,28528.14,2147892.39,0.046555436
1655035200,27468.63,27239,27704.08,853955.06,0.016787419
1655056800,28128.68,26921.35,28349.99,2399823.48,0.050392963
1655078400,26600,26578.6,28144.56,1838609.42,0.055639882
1655100000,25244.52,24916.71,26872.75,6268678.02,0.072788978
1655121600,23733.72,23491.49,25579.14,8945100.82,0.081615332
1655143200,23537.17,22624.34,24342.34,7472674.29,0.070576617
1655164800,22486.87,21965.1,23797.06,4801284.89,0.076982619
1655186400,22768.91,20861.28,23304.62,10729881.85,0.104843589
1655208000,21972.01,21742.63,23024.52,2866304.69,0.055674993
1655229600,22379.8,21816.65,22798.48,3547960,0.04306559
1655251200,22150.54,21361.77,22578.71,2387883.67,0.053897676
1655272800,21217.28,20767,22277.99,2654031.18,0.067824341
1655294400,21169.51,20119,21446.95,6399409.22,0.061917895
1655316000,21079,20509.42,21782.86,3925815.81,0.058460643
1655337600,22578.23,20253.67,22787.15,8859744.8,0.111180205
1655359200,21947.89,21924.44,22975.22,965147.25,0.045735362
1655380800,21056.99,20879.31,21999.98,2722074.46,0.050939592
1655402400,21069.7,20769.76,21500,1956593.85,0.033964651
1655424000,20395.16,20237.21,21122.11,2506798.6,0.041894489
1655445600,20808.24,20256.11,21033,950579.91,0.036936718
1655467200,20978.85,20623.05,21347,1490909.94,0.03391343
1655488800,20578.56,20400,21047.28,1624842.29,0.030753618
1655510400,20456.19,20369.42,20708.88,480099.98,0.016392002
1655532000,20408.98,20335.57,20759.39,386248.38,0.020415821
1655553600,19245.64,18764,20448.61,5165313.62,0.082382617
1655575200,18630.09,18548,19278,1355023.98,0.037866999
1655596800,18980.13,17567,19481.13,12880097.87,0.098255594
1655618400,18131.5,17978.28,19195.57,2149474.85,0.063415153
1655640000,19686.68,18054.62,20043.08,2394835.62,0.099209303
1655661600,19455.8,19153.6,19914,1512611.37,0.038184192
1655683200,20583.65,19420.81,20808.3,2368911.95,0.066679642
1655704800,20094.2,19648.63,20633.45,935947.94,0.047729294
1655726400,20805.99,19892.83,21034.91,2268208.36,0.054294504
1655748000,19986.25,19951.29,21048.43,1280508.23,0.052124553
1655769600,20575.78,19850,20767,789602.15,0.044156595
1655791200,20900.18,20368.4,21013.59,720821.52,0.030703464
1655812800,20988.42,20915.56,21450,1301357.34,0.024915618
1655834400,21244.36,20862.23,21719.92,1844183.77,0.039488635
1655856000,20724.54,20547,21289.75,898487.76,0.034887681
1655877600,20375.81,20280.56,20727.64,880011.5,0.021569267
1655899200,20501.99,19963.7,20664.23,833908.51,0.03390061
1655920800,20271.95,19866.83,20886.14,1803053.7,0.048803178
1655942400,19978,19790.1,20370.17,960244.82,0.028476444
1655964000,20346.46,19897.41,20600,629708.69,0.034106311
1655985600,20629.85,20305.65,20803.16,901019.91,0.023915117
1656007200,20321.67,20194.64,20822.72,1121922.39,0.030163206
1656028800,21100.17,20295.18,21216.29,2957363.86,0.043415225
1656050400,20891.63,20876.24,21347.55,859230.29,0.022077943
1656072000,21171.89,20749.25,21316.13,1218757.21,0.026593946
